,time,posX,posY,orientation,mac,signal,rawTime,angle,posXY,medSignal,avgSignal,num,sdSignal,iqrSignal,Power,lnPower,avgPower,logAvgPwr,macX,macY,Dist,1/dist,1/dist2,3,00:0f:a3:39:e1:c0,135,-52,,,10
1,02/11/2006 00:31,0,0,0,00:14:bf:b1:97:8a,-38,1.13964E+12,0,0-0,-38,-39.13684211,95,2.215086216,1,0.000158489,-8.749823353,0.000121988,-9.011590922,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
2,02/11/2006 00:31,0,0,0,00:14:bf:b1:97:90,-56,1.13964E+12,0,0-0,-56,-56.39423077,104,1.193983861,1,2.51189E-06,-12.89447652,2.29391E-06,-12.98525151,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
3,02/11/2006 00:31,0,0,0,00:0f:a3:39:e1:c0,-53,1.13964E+12,0,0-0,-51,-51.15454545,110,1.408925439,2,5.01187E-06,-12.20370099,7.66559E-06,-11.77876938,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
4,02/11/2006 00:31,0,0,0,00:14:bf:b1:97:8d,-65,1.13964E+12,0,0-0,-66,-67.31034483,87,3.250439487,1.5,3.16228E-07,-14.9668031,1.85766E-07,-15.49877966,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
5,02/11/2006 00:31,0,0,0,00:14:bf:b1:97:81,-65,1.13964E+12,0,0-0,-64,-64.05434783,92,2.615944897,4,3.16228E-07,-14.9668031,3.93156E-07,-14.74905864,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
6,02/11/2006 00:31,0,0,0,00:14:bf:3b:c7:c6,-66,1.13964E+12,0,0-0,-67,-66.53191489,94,1.932751828,1.75,2.51189E-07,-15.19706161,2.22233E-07,-15.31953954,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
992,02/11/2006 00:32,0,0,45.2,00:14:bf:b1:97:90,-62,1.13964E+12,45,0-0,-56,-56.52808989,89,3.864435416,7,6.30957E-07,-14.27602758,2.22429E-06,-13.01607371,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
993,02/11/2006 00:32,0,0,45.2,00:14:bf:b1:97:81,-64,1.13964E+12,45,0-0,-62,-62.42045455,88,3.663179923,3.25,3.98107E-07,-14.7365446,5.72736E-07,-14.37284081,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
994,02/11/2006 00:32,0,0,45.2,00:14:bf:3b:c7:c6,-66,1.13964E+12,45,0-0,-67,-67.48421053,95,1.906668912,3,2.51189E-07,-15.19706161,1.78476E-07,-15.53881372,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
995,02/11/2006 00:32,0,0,45.2,00:0f:a3:39:e1:c0,-58,1.13964E+12,45,0-0,-57,-57.44545455,110,3.388015477,2,1.58489E-06,-13.35499354,1.80075E-06,-13.22730473,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
998,02/11/2006 00:32,0,0,45.2,00:14:bf:b1:97:8a,-38,1.13964E+12,45,0-0,-44,-43.14893617,94,3.162132963,4,0.000158489,-8.749823353,4.84291E-05,-9.93540972,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
1010,02/11/2006 00:32,0,0,45.2,00:14:bf:b1:97:8d,-69,1.13964E+12,45,0-0,-69,-68.72289157,83,1.425493094,1,1.25893E-07,-15.88783714,1.34187E-07,-15.82403057,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
1939,02/11/2006 00:34,0,0,90.3,00:14:bf:b1:97:8a,-35,1.13964E+12,90,0-0,-34,-33.74736842,95,0.798514859,1,0.000316228,-8.059047825,0.000421952,-7.770618745,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
1940,02/11/2006 00:34,0,0,90.3,00:0f:a3:39:e1:c0,-53,1.13964E+12,90,0-0,-49,-50.58558559,111,4.141735404,5,5.01187E-06,-12.20370099,8.73859E-06,-11.64776153,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
1941,02/11/2006 00:34,0,0,90.3,00:14:bf:3b:c7:c6,-59,1.13964E+12,90,0-0,-63,-62.59550562,89,2.498722861,4,1.25893E-06,-13.58525205,5.5011E-07,-14.41314781,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
1942,02/11/2006 00:34,0,0,90.3,00:14:bf:b1:97:90,-54,1.13964E+12,90,0-0,-55,-55.19587629,97,1.076638047,2,3.98107E-06,-12.4339595,3.02282E-06,-12.70932019,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
1943,02/11/2006 00:34,0,0,90.3,00:14:bf:b1:97:81,-69,1.13964E+12,90,0-0,-62,-63.7826087,92,3.802330364,7,1.25893E-07,-15.88783714,4.18542E-07,-14.6864884,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
1950,02/11/2006 00:34,0,0,90.3,00:14:bf:b1:97:8d,-61,1.13964E+12,90,0-0,-63,-63.12941176,85,1.486352481,2,7.94328E-07,-14.04576907,4.86473E-07,-14.53608425,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
3040,02/11/2006 00:35,0,0,135.9,00:14:bf:b1:97:8a,-41,1.13964E+12,135,0-0,-39,-39.07070707,99,1.847516398,2,7.94328E-05,-9.440598881,0.000123859,-8.996362767,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,1,,,,
3041,02/11/2006 00:35,0,0,135.9,00:0f:a3:39:e1:c0,-55,1.13964E+12,135,0-0,-49,-51.50442478,113,4.58281708,5,3.16228E-06,-12.66421801,7.07225E-06,-11.85933207,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,1,0.001940675,0,0,0.102093982
3042,02/11/2006 00:35,0,0,135.9,00:14:bf:b1:97:8d,-64,1.13964E+12,135,0-0,-64,-63.63291139,79,1.231813497,1,3.98107E-07,-14.7365446,4.3322E-07,-14.65201932,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,1,,,,
3043,02/11/2006 00:35,0,0,135.9,00:14:bf:3b:c7:c6,-69,1.13964E+12,135,0-0,-67,-67.47747748,111,2.507613305,3,1.25893E-07,-15.88783714,1.78753E-07,-15.53726338,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,1,,,,
3050,02/11/2006 00:35,0,0,135.9,00:14:bf:b1:97:90,-54,1.13964E+12,135,0-0,-55,-54.32258065,93,1.989981922,1,3.98107E-06,-12.4339595,3.69608E-06,-12.50823644,1,14,14.03566885,0.07124705,0.005076142,,0,1,,,,
3054,02/11/2006 00:35,0,0,135.9,00:14:bf:b1:97:81,-61,1.13964E+12,135,0-0,-63,-63.36666667,90,3.449311933,7,7.94328E-07,-14.04576907,4.6061E-07,-14.59071421,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,1,,,,
4130,02/11/2006 00:37,0,0,180.3,00:14:bf:b1:97:8a,-34,1.13964E+12,180,0-0,-33,-33.92380952,105,3.771592293,2,0.000398107,-7.828789316,0.000405153,-7.811245811,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
4131,02/11/2006 00:37,0,0,180.3,00:14:bf:b1:97:90,-57,1.13964E+12,180,0-0,-56,-56.49494949,99,1.923929532,2,1.99526E-06,-13.12473503,2.24133E-06,-13.00844285,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
4132,02/11/2006 00:37,0,0,180.3,00:14:bf:3b:c7:c6,-66,1.13964E+12,180,0-0,-68,-68.31818182,110,3.649636951,3.75,2.51189E-07,-15.19706161,1.47293E-07,-15.7308427,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
4136,02/11/2006 00:37,0,0,180.3,00:0f:a3:39:e1:c0,-87,1.13964E+12,180,0-0,-53,-55.02727273,110,6.241999049,2,1.99526E-09,-20.03249031,3.14248E-06,-12.67049779,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
