"","time","posX","posY","orientation","mac","signal","rawTime","angle","posXY"
"1",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:8a",-43,1139692477303,135,"0-0.05"
"2",2006-02-11 14:14:37,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692477303,135,"0-0.05"
"3",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692477303,135,"0-0.05"
"4",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:81",-58,1139692477303,135,"0-0.05"
"5",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692477303,135,"0-0.05"
"6",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692477303,135,"0-0.05"
"9",2006-02-11 14:14:37,0,0.05,130.5,"00:0f:a3:39:dd:cd",-64,1139692477303,135,"0-0.05"
"12",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:8a",-43,1139692477555,135,"0-0.05"
"13",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:8a",-43,1139692477555,135,"0-0.05"
"14",2006-02-11 14:14:37,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692477555,135,"0-0.05"
"15",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692477555,135,"0-0.05"
"16",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692477555,135,"0-0.05"
"18",2006-02-11 14:14:37,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692477555,135,"0-0.05"
"21",2006-02-11 14:14:37,0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,1139692477807,135,"0-0.05"
"22",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:90",-49,1139692477807,135,"0-0.05"
"23",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692477807,135,"0-0.05"
"24",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:8a",-44,1139692477807,135,"0-0.05"
"25",2006-02-11 14:14:37,0,0.05,130.5,"00:14:bf:b1:97:81",-68,1139692477807,135,"0-0.05"
"27",2006-02-11 14:14:37,0,0.05,130.5,"00:0f:a3:39:dd:cd",-66,1139692477807,135,"0-0.05"
"30",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692478059,135,"0-0.05"
"31",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692478059,135,"0-0.05"
"32",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8a",-39,1139692478059,135,"0-0.05"
"33",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692478059,135,"0-0.05"
